,Np,Nt,Kp,Kt,A,lp,Rg,E2E,zd,Angle,lb,lt,sd_lp,sd_Rg,sd_zd,sd_E2E,sd_dot
77,17.0,8.0,8.0,0.25,80.0,6.62238828541128,3.8385136551230965,10.95849501103543,4.36828119481038,2.0686478632790037,0.9702445522236316,0.9702827884333911,0.08695177021648651,0.16425889768864993,1.0474768924609195,2.3186797986987893,0.534843318129213
78,17.0,8.0,16.0,0.25,80.0,13.847322398142872,4.260315823970532,13.013465476760354,4.291655013972056,2.378821181292578,0.97059584373329,0.9718015880099076,0.08975181018376936,0.06255818356302138,1.050329237672401,1.4777487420355109,0.39618011758969157
79,17.0,8.0,32.0,0.25,80.0,28.784711271463724,4.500188600754364,14.228140113461597,4.232062165668663,2.6119846551836563,0.9700718672081294,0.9704623896406641,0.09530439976884506,0.020346886220034232,1.031676930014389,0.8132857240293294,0.2799827266203422
80,17.0,8.0,64.0,0.25,80.0,57.24440382679344,4.628130687233614,14.857915594494292,4.098240193612774,2.752353725476192,0.9710236041744658,0.9709934177130645,0.48441533119127606,0.006832883588249059,1.0526345200571945,0.4457538233284232,0.19182686274705738
81,17.0,8.0,0.25,0.25,70.0,1.1268140028954705,2.3703018144449315,5.768430286948832,4.724910514570858,1.6670491595809613,0.9710622730038383,0.9721192586392111,0.050882640639640236,0.14095394210888745,0.9277349036570426,1.9037597901480712,0.6488342276023705
82,17.0,8.0,0.5,0.25,70.0,1.1734914648243648,2.3672515656373867,5.6487382016258145,4.763143155688622,1.6124129592067624,0.9710834481107323,0.9712377896947064,0.03696144483944731,0.12413630287144424,0.9532043639018407,1.8053232133204253,0.6286008019413805
83,17.0,8.0,1.0,0.25,70.0,1.4095607597285067,2.4908459941740193,5.9682799124505514,4.833901815968065,1.5921083834192589,0.9712638450613491,0.9710499318441008,0.03634428697858237,0.18694085231458435,0.9724634531261636,2.160095962438435,0.652652978290699
84,17.0,8.0,2.0,0.25,70.0,1.834364116593259,2.696841303825619,6.589675889670867,4.833510206187626,1.605012985032774,0.9713245069437599,0.9711580342668444,0.03345581407598514,0.19785393759529912,0.9696478232584671,2.277123338204298,0.6539363606549131
85,17.0,8.0,4.0,0.25,70.0,3.0932516620914963,3.19710950429467,8.315851761264087,4.951846262814372,1.7731294204193964,0.9701475765934203,0.9715252911086008,0.05002169406162796,0.2373317021210475,1.0347726832091109,2.5908404291369376,0.6483714601580358
86,17.0,8.0,8.0,0.25,70.0,6.282383703914416,3.8032391311328078,10.763903412680563,4.939113013732535,2.0299588800745942,0.9706363759164109,0.9713214361092039,0.13028139659536403,0.178712675564488,0.9326531589775866,2.429928520396863,0.572028120133419
87,17.0,8.0,16.0,0.25,70.0,12.818389571469988,4.226685566514482,12.830891344290299,4.849568285828344,2.3239112014741674,0.9698739386814679,0.9715140080991381,0.22398394405083358,0.06681826401826835,0.9361010890917462,1.5372862804604845,0.40839846352037595
88,17.0,8.0,32.0,0.25,70.0,26.934048448855048,4.489625923854633,14.143446548372852,4.717678395209581,2.5737339049478307,0.9704597792870858,0.9716899147661789,0.35860892750317236,0.022794659500492243,0.8566193153423243,0.8609971703637014,0.28292350354102963
89,17.0,8.0,64.0,0.25,70.0,56.887587255987185,4.624496680468035,14.850432906494387,4.675935071856288,2.750142099583078,0.970590750433995,0.9712396404909304,0.4959943069570891,0.006064722765422643,0.79473264232816,0.42175459672895915,0.19320484816513503
90,17.0,8.0,0.25,0.25,60.0,1.0823010040408676,2.3420877003744085,5.773169390290178,5.239516096806388,1.6681275612599284,0.9710164028243558,0.9716382472114798,0.044430265763401575,0.13742912035869814,0.8544212293719757,1.769048554129252,0.5999473299212886
91,17.0,8.0,0.5,0.25,60.0,1.1863249704598084,2.3760467792843176,5.710437811424606,5.339864619361278,1.60439987827788,0.9712442235299686,0.9712325276454071,0.04529175814880731,0.1303224580592311,0.9337743585858007,1.861138122672231,0.6359706480953649
92,17.0,8.0,1.0,0.25,60.0,1.3527767989916886,2.459799446184914,5.88119536453324,5.264168083433134,1.5720389300566913,0.9716778251782136,0.9712395912808278,0.035664877337532035,0.14831888033340518,0.8727469307753482,1.8914687399161514,0.6171077599260224
93,17.0,8.0,2.0,0.25,60.0,1.8319348596715723,2.707480211908474,6.553730471939375,5.416680605588821,1.6014334433716264,0.970865408439577,0.9701447784299514,0.03877432722459775,0.19339170117447582,0.9241381188383365,2.1936086348160297,0.6326095381189026
